input_name,matched_name,tvdb_id
The Super Mario Bros. Movie,The Super Mario Bros. Movie,136578
Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,66
Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,63
Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,154
Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,153
Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,128
Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,181
Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Deathly Hallows: Part 1,201
Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,142
The Drama,The Drama,359067
Iron Man,Iron Man,108
The Incredible Hulk,The Incredible Hulk,584
Iron Man 2,Iron Man 2,187
Thor,Thor,123
Captain America: The First Avenger,Captain America: The First Avenger,180
The Avengers,The Avengers,31
Iron Man 3,Iron Man 3,188
Thor: The Dark World,Thor: The Dark World,178
Captain America: The Winter Soldier,Captain America: The Winter Soldier,965
Guardians of the Galaxy,Guardians of the Galaxy,26
Avengers: Age of Ultron,Avengers: Age of Ultron,59
Ant-Man,Ant-Man,163
Captain America: Civil War,Captain America: Civil War,118
Doctor Strange,Doctor Strange,145
Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,67
Spider-Man: Homecoming,Spider-Man: Homecoming,68
Thor: Ragnarok,Thor: Ragnarok,62
Black Panther,Black Panther,48
Avengers: Infinity War,Avengers: Infinity War,8
Ant-Man and the Wasp,Ant-Man and the Wasp,28
Captain Marvel,Captain Marvel,10
Avengers: Endgame,Avengers: Endgame,148
Black Widow,Black Widow,27759
Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings,131146
Eternals,Eternals,131147
Spider-Man: No Way Home,Spider-Man: No Way Home,132448
Doctor Strange in the Multiverse of Madness,Doctor Strange in the Multiverse of Madness,32426
Thor: Love and Thunder,Thor: Love and Thunder,131141
Black Panther: Wakanda Forever,Black Panther: Wakanda Forever,31110
Ant-Man and the Wasp: Quantumania,Ant-Man and the Wasp: Quantumania,132202
Guardians of the Galaxy Vol. 3,Guardians of the Galaxy Vol. 3,11716
Deadpool & Wolverine,Deadpool & Wolverine,49196
Captain America: Brave New World,Captain America: Brave New World,160768
Thunderbolts,Thunderbolts*,337758
The Fantastic Four: First Steps,The Fantastic Four: First Steps,131702
Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,269
Pinocchio,Pinocchio,1236
Fantasia,Fantasia,3018
Dumbo,Dumbo,1810
Bambi,Bambi,1151
Cinderella,Cinderella,369
Alice in Wonderland,Alice in Wonderland,693
Peter Pan,Peter Pan,1170
Lady and the Tramp,Lady and the Tramp,600
Sleeping Beauty,Sleeping Beauty,467
One Hundred and One Dalmatians,Redefining the Line: The Making of One Hundred and One Dalmatians,290930
The Sword in the Stone,The Sword in the Stone,1976
Mary Poppins,Mary Poppins,762
The Jungle Book,The Jungle Book,393
The Aristocats,The Aristocats,696
Robin Hood,Robin Hood,2144
The Many Adventures of Winnie the Pooh,The Many Adventures of Winnie the Pooh,4920
The Rescuers,The Rescuers,1505
Pete's Dragon,Pete's Dragon,2754
The Fox and the Hound,The Fox and the Hound,1561
The Black Cauldron,The Black Cauldron,3032
The Great Mouse Detective,The Great Mouse Detective,3974
Who Framed Roger Rabbit,Who Framed Roger Rabbit,1259
Oliver & Company,Oliver & Company,2499
The Little Mermaid,The Little Mermaid,248
Beauty and the Beast,Beauty and the Beast,226
Aladdin,Aladdin,6792
The Nightmare Before Christmas,The Nightmare Before Christmas,1498
The Lion King,The Lion King,5024
Pocahontas,Pocahontas,756
Toy Story,Toy Story,318
James and the Giant Peach,James and the Giant Peach,3292
The Hunchback of Notre Dame,The Hunchback of Notre Dame,520
Hercules,Hercules,935
Mulan,Mulan,592
A Bug's Life,A Bug's Life,708
Tarzan,Tarzan,978
Toy Story 2,Toy Story 2,378
Fantasia 2000,Fantasia 2000,3615
The Tigger Movie,The Tigger Movie,7217
Dinosaur,Dinosaur,1788
The Emperor's New Groove,The Emperor's New Groove,952
Recess: School's Out,Recess: School's Out,7446
Atlantis: The Lost Empire,Atlantis: The Lost Empire,768
Monsters Inc.,"Monsters, Inc.",331
Return to Never Land,Return to Never Land,3407
Lilo & Stitch,Lilo & Stitch,864
Treasure Planet,Treasure Planet,655
The Jungle Book 2,The Jungle Book 2,2152
Piglet's Big Movie,Piglet's Big Movie,5699
Finding Nemo,Finding Nemo,256
Brother Bear,Brother Bear,1157
Home on the Range,Home on the Range,1938
Pooh's Heffalump Movie,Pooh's Heffalump Movie,3480
Chicken Little,Chicken Little,800
The Wild,The Wild,2507
Cars,Cars,562
Meet the Robinsons,Meet the Robinsons,1614
Ratatouille,Ratatouille,534
Enchanted,Enchanted,1114
WALL-E,WALL·E,516
Bolt,Bolt,918
Up,Up,315
A Christmas Carol,A Christmas Carol,677
The Princess and the Frog,The Princess and the Frog,866
Toy Story 3,Toy Story 3,329
Tangled,Tangled,636
Cars 2,Cars 2,709
Brave,Brave,186
Frankenweenie,Frankenweenie,4059
